epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,5152.59,0.91389,0.3993,0.00286,0.93623,0.93175,0.9635,0.77595,0.79873,0.36281,0.00339,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5270.24,0.91607,0.39486,0.00293,0.90883,0.94909,0.95693,0.77676,0.80549,0.38192,0.00355,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5384.69,0.91068,0.39435,0.00283,0.94229,0.91854,0.95638,0.77068,0.7981,0.37954,0.00345,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5500.08,0.9072,0.38643,0.00277,0.92676,0.9379,0.96301,0.78683,0.79271,0.36612,0.00352,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5615.99,0.89169,0.37838,0.00282,0.93281,0.92614,0.95263,0.78388,0.76146,0.37138,0.00327,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5728.71,0.89699,0.38348,0.00286,0.91321,0.93255,0.95575,0.78354,0.79459,0.36724,0.00342,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5843.31,0.88946,0.38031,0.00278,0.9121,0.93809,0.95283,0.77542,0.7987,0.37561,0.00347,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5957.42,0.88661,0.38248,0.00275,0.92655,0.93464,0.95339,0.77653,0.78886,0.3745,0.00346,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6070.75,0.88425,0.37263,0.0027,0.94382,0.9236,0.96235,0.78188,0.78557,0.35372,0.00338,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6184.86,0.87769,0.3739,0.00271,0.925,0.90543,0.94979,0.78158,0.76743,0.36853,0.00335,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6297.01,0.87364,0.3725,0.00267,0.9242,0.92834,0.95632,0.77457,0.79405,0.36657,0.00346,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6411.62,0.86002,0.36256,0.00271,0.9348,0.92977,0.96051,0.77781,0.79163,0.35392,0.00347,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6524.46,0.85926,0.36562,0.00261,0.91246,0.94057,0.96412,0.78567,0.77871,0.35437,0.00347,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6637.37,0.84761,0.35549,0.00261,0.94043,0.91114,0.95413,0.78361,0.7684,0.34009,0.00339,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6750.18,0.85055,0.36009,0.00259,0.92007,0.94398,0.95276,0.78558,0.77304,0.35794,0.00339,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6870.1,0.84818,0.35707,0.00255,0.93115,0.92817,0.95479,0.77931,0.76835,0.362,0.00334,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6983.81,0.83262,0.35649,0.00256,0.93964,0.92352,0.95821,0.779,0.76433,0.37841,0.00338,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7098.11,0.83175,0.34551,0.00253,0.91159,0.94625,0.95741,0.77759,0.76214,0.35613,0.00334,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7211.71,0.8219,0.34416,0.00251,0.93943,0.92674,0.95473,0.77712,0.76998,0.35477,0.00335,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7326.47,0.82369,0.34818,0.0025,0.95039,0.92491,0.95879,0.77911,0.77366,0.35884,0.00337,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7439.16,0.82308,0.34106,0.00255,0.94564,0.92139,0.95916,0.77686,0.7661,0.35592,0.00329,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7553.56,0.80628,0.33453,0.00243,0.91619,0.94984,0.95616,0.78084,0.75748,0.35717,0.0032,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7666.13,0.80922,0.33919,0.00247,0.92347,0.93694,0.95746,0.7802,0.76512,0.35897,0.00326,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7780.53,0.80198,0.33311,0.00243,0.90322,0.9384,0.95465,0.78307,0.76327,0.36505,0.00328,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7893.73,0.79364,0.3332,0.00239,0.95019,0.91344,0.956,0.78256,0.76208,0.36624,0.00335,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
